Year,Science,Society
2015,"5,260",526
2014,"5,420",536
2013,"5,493",535
2012,"5,485",508
2011,"5,178",487
2010,"4,783",410
2009,"4,609",408
2008,"4,539",289
2007,"3,715",216
2006,"3,481",180
2005,"3,378",150
2004,"2,749",134
2003,"2,541",121
2002,"2,347",70
2001,"2,341",63
2000,"1,979",68
1999,"1,895",77
1998,"1,583",59
1997,"1,566",43
1996,"1,479",59
1995,"1,278",47
1994,"1,119",31
1993,961,31
1992,860,36
1991,637,23
1990,514,33
1989,395,34
1988,318,14
1987,258,12
1986,221,16
1985,224,9
1984,158,15
1983,120,12
1982,130,22
1981,100,31
1980,111,¡Ð
